,TB-000005-D1WPLL,TB-000018-D1WBLL,TB-000023-D1WBLL,TB-000025-D1WBLL,TB-000038-D1WBLL,TB-000042-D1BBLL,TB-000048-D1BBLL,TB-000048-D1WBLL,TB-000054-D1WBLL,TB-000071-D1WPLL,TB-000115-D1WPLL,TB-000174-D1WPLL,TB-000177-D1WBLL,TB-000191-D1WBLL,TB-000192-D1WBLL,TB-000195-D1WBLL,TB-000203-D1WBLL
TEX10,433.312131289644,377.611094917114,530.901182719739,497.097168752773,603.508759307703,339.387557464025,396.416699262552,441.881332250531,389.475451899567,4629.02014169389,3739.96331306093,2458.00248324416,4558.83049581053,7242.58757161289,5082.51051008322,4947.85764437088,7374.39954912044
ANKHD1,57.0590763474484,47.7997419217728,67.0608293301964,48.9108759153592,40.8673359232617,34.3330990561289,63.4802798400838,28.2089850406682,39.2299548659088,8760.97074201295,8476.15622541544,8404.64850956186,11281.3352293537,10699.0681780852,12227.377002625,11588.5885025247,9135.27445263251
CWC25,19.1856641456653,33.1179643523671,43.1907866392324,13.3730629967495,34.8404059998194,33.7242482659959,19.5379045667004,19.0887582393276,12.0897011854782,7399.68902645243,5753.50748577187,4906.45332927821,4654.07256628654,5003.58256041659,7558.69430077006,5218.37087426537,8716.27097820429
RETSAT,243.491581325095,238.526347300786,353.72955725881,299,296.36873402611,295,343.497241878257,321.260476188122,266.071456489716,1622,950,1099,1346,1909,1767,619,1116
TBC1D8B,616.299273706255,810.660633055217,1068.27993864263,924.297761780752,993.297651294951,563.501896448046,1227.22882026672,1065.60032571957,547.361957869359,736.721510488168,1012.15434256248,632.733125063609,2371.08934823529,1541.43218049921,1432.03621621304,1394.45853232278,1249.04575351185
PLPPR1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
UHRF1BP1,212.539594338365,258.786922045501,302.764083337962,267.652137604193,186.841860825408,283.518463479816,234.679528450461,203.703845201246,183.165559704207,4421.54521167725,3056.34359687864,2485.32298496861,2607.0700053426,4236.40068042814,7556.79991970421,3927.88944933086,4538.31477340137
NSUN2,9.90769537500619,18.4327044916518,12.4956277054856,19.3515201443236,12.2930529210428,2.52407142995947,8.44699076891966,11.5719372927439,9.62363595638883,4000.74291973207,3208.48967949821,3612.77824990782,6674.14858544503,3696.0450154518,5656.00728906513,4005.67556759934,3391.01215349686
ALKBH5,50,44,72,88,28,29,29,48,14,11782,7501,8604,5771,12291,10810,6653,14569
INO80D,106,75.0174315451724,88.0496161628823,113.720903109186,95.0915540622734,137.013421252994,60.054613313615,56.0084641872983,75.0041617839595,6179.94985661247,5366.01939162853,4986.46719838555,6503.95238712999,6767.75281306984,7511.76472218643,9216.55874456062,7036.77678806287
NCAPG2,17.0188892284658,12.0105997847818,10.5231290221936,14,12.0226429234383,11,9.14798983242872,7,12,2650.05802797032,2348.27151342968,4207.11795525659,7736.23150027179,3833.10190748656,5491.05310122498,1721,2344
MTMR10,645,304,440,512,697,252,387,347,454,12965,7688.04044160753,7077.21493773081,4677,10939,8195,10967,11750
RNF43,530.470059316793,466.160261805426,1358.85127901854,762.64975552799,825.384927084567,677.207218393558,1242.52755662895,1257.00339418791,603.033176573115,380.665887348616,123.006561235803,193.412412016628,243.415774004801,141.574553085345,99.0488130094483,203.917203036731,110.10365266564
PQLC2,145.501344425335,165.270540966646,108.198617554963,62.7477999935085,73.6867106025638,211.571702938189,197.690404180459,160.421841698456,84.4639114246243,371.374712423846,135.448938753791,433.545057690346,177.395334587808,484.396769169621,414.118684773069,145.255602107291,308.793600754306
CASZ1,39.9585912187703,48.721994471541,64.4939483825125,46.2851487575311,37.2689008344909,39.0236872130812,46.0794041024349,48.9202000105213,30.859242041915,829.885374132652,1342.41031663235,1332.18290018339,635.813430186266,1208.77605015494,523.481284073132,1152.64026063562,623.109676069007
ELOVL2,5,4,1,2,12,0,1,0,10,0,324,2,651,1125,226,495,392
PXK,101,141,186,202,179,93,77,81,99,8929,8557,5824,7507,6986,7373,5347,5611
AUH,0,2,3,0,2,0,3,0,5,1437,1822,964,1075,1019,1450,1674,1258
LAX1,57.1354950370168,37.9428516404145,94.1738513823908,91.3236917673335,79.0025664026544,52.7523862524305,105.0593379539,81.8641508580126,61.1046859134613,1478.46142568177,1471.09259765506,1283.20232533577,1028.46803931643,1586.45135085946,1286.34535896378,1162.8112454388,1040.12554637729
CDKAL1,68.7504468851647,69.8205651253342,80.9478404078509,58.7885145902666,61.7169679190148,62.2167403854288,47.3067928730699,72.1289789851792,75.9493233821555,2642.01201971542,1998.46812528381,1995.0694966741,3061.44903487731,3015.49703938773,5753.91594359689,2785.47309395529,2829.85133092362
TTC19,688.14744616212,724.422538227114,713.651223084379,509.456138483101,765.761667155523,775.741365743322,694.608222614742,624.591543723789,476.625611769566,2357.30983327564,1496.30258795537,1506.33894555272,2427.6791394273,2622.21587085626,2703.98029932315,1574.1772221217,2133.77057068104
MKS1,0,0,1,0,0,0,0,0,0,286.819013210794,177.739951468714,307.960015058094,557.423717310956,515.059531138328,290.91049117378,213.916390075925,217.356696569825
WHSC1L1,109.009853141362,44.9091580215363,138.084611099357,112.499501558816,77.6083209044477,70.8459307645436,99.8397935775644,84.9251097642701,61.086943878265,15051.6125442426,11773.5919520808,9266.81469086127,11576.2177264451,16683.2557793807,17604.5828311751,17928.927793388,13608.7846198735
CYP2W1,69.1732181724653,15.9912437589589,34.1726424768782,37.058890772504,52.7684560809647,16.0015744763579,52.4422140012404,52.8401933705362,43.2665929641875,3.00203560374528,0,65.7865336197694,1.01284511148686,20.3768659339955,98.2112546124213,55.3147486019388,128.400423508518
